address,lat,lon
"Aberdeen, SD",45.4649805,-98.487813
"Abilene, TX",32.44645,-99.7475905
"Albany, GA",31.5782062,-84.1556809
"Albany, NY",42.6511674,-73.754968
"Albuquerque, NM",35.0841034,-106.650985
"Alexandria, LA",31.2909782,-92.4616292
"Allentown/Bethlehem/Easton, PA",40.688493,-75.216982
"Alpena, MI",45.0616794,-83.4327528
"Amarillo, TX",35.2072185,-101.833824
"Appleton, WI",44.2613967,-88.4069744
"Asheville, NC",35.6009498,-82.5540161
"Ashland, WV",37.4084488,-81.3526017
"Aspen, CO",39.1911128,-106.8235606
"Athens, GA",33.9597677,-83.376398
"Atlanta, GA (Metropolitan Area)",33.758891,-84.391906
"Atlantic City, NJ",39.3642852,-74.4229351
"Augusta, GA",33.4709714,-81.9748429
"Austin, TX",30.2711286,-97.7436995
"Bakersfield, CA",35.3738712,-119.0194639
"Bangor, ME",44.8011821,-68.7778138
"Bar Harbor, ME",44.3876378,-68.2043361
"Baton Rouge, LA",30.4507936,-91.1391153
"Beaumont/Port Arthur, TX",29.901651,-93.974199
"Bedford, MA",42.4917301,-71.2817947
"Belleville, IL",38.5200504,-89.9839935
"Bellingham, WA",48.7544012,-122.478836
"Bemidji, MN",47.4785418,-94.8907869
"Bend/Redmond, OR",44.26313,-121.18053
"Billings, MT",45.7874957,-108.49607
"Binghamton, NY",42.0987125,-75.9125262
"Birmingham, AL",33.5206824,-86.8024326
"Bishop, CA",37.363679,-118.39524
"Bismarck/Mandan, ND",46.7964145,-100.8196359
"Bloomington/Normal, IL",40.508752,-88.9844947
"Boise, ID",43.6166163,-116.200886
"Boston, MA (Metropolitan Area)",42.3554334,-71.060511
"Bozeman, MT",45.6794293,-111.044047
"Brainerd, MN",46.3580221,-94.2008288
"Branson, MO",36.6411357,-93.2175285
"Bridgeport, CT",41.1670412,-73.2048348
"Bristol/Johnson City/Kingsport, TN",36.295107,-82.347083
"Brownsville, TX",25.9140277,-97.4890879
"Brunswick, GA",31.1499528,-81.4914894
"Buffalo, NY",42.8867166,-78.8783922
"Bullhead City, AZ",35.1477774,-114.568298
"Burlington, VT",44.4761601,-73.212906
"Butte, MT",46.0131505,-112.536508
"Cabarrus, NC",35.2370876,-80.5417335
"Cape Girardeau, MO",37.3034933,-89.5230357
"Carlsbad, CA",33.1580933,-117.3505966
"Carlsbad, NM",32.4257456,-104.237612
"Casper, WY",42.8501191,-106.325138
"Cedar City, UT",37.6774238,-113.061827
"Cedar Rapids/Iowa City, IA",42.04514,-91.690025
"Champaign/Urbana, IL",40.1157948,-88.241194
"Charleston, SC",32.7876012,-79.9402728
"Charleston/Dunbar, WV",38.3601,-81.7378
"Charlotte, NC",35.2272086,-80.8430827
"Charlottesville, VA",38.029306,-78.4766781
"Chattanooga, TN",35.03677,-85.15014743
"Cheyenne, WY",41.139981,-104.820246
"Chicago, IL",41.8755616,-87.6244212
"Chico, CA",39.7284945,-121.8374777
"Chicopee Falls, MA",42.1520377,-72.5759218
"Cincinnati, OH",39.1014537,-84.5124602
"Clarksburg/Fairmont, WV",39.2798118,-80.3300893
"Cleveland, OH (Metropolitan Area)",41.499907,-81.690273
"Clovis, NM",34.405472,-103.2050709
"Cody, WY",44.5263107,-109.056392
"College Station/Bryan, TX",30.5923018,-96.3850915
"Colorado Springs, CO",38.8339578,-104.825348
"Columbia, SC",34.0007493,-81.0343313
"Columbus, GA",32.4610708,-84.9880449
"Columbus, MS",33.4956744,-88.4272627
"Columbus, OH",39.9622601,-83.0007065
"Concord, NC",35.4094178,-80.5800049
"Corpus Christi, TX",27.7635302,-97.4033191
"Cortez, CO",37.3494528,-108.584073
"Crescent City, CA",41.8528065,-124.149862
"Dallas/Fort Worth, TX",32.737906,-97.239737
"Dayton, OH",39.7589478,-84.1916069
"Daytona Beach, FL",29.2108147,-81.0228331
"Decatur, IL",39.8552722,-88.9455504
"Del Rio, TX",29.3655405,-100.894698
"Denver, CO",39.7392364,-104.984862
"Des Moines, IA",41.5910323,-93.6046655
"Detroit, MI",42.3315509,-83.0466403
"Devils Lake, ND",48.112779,-98.86512
"Dickinson, ND",46.8791756,-102.7896242
"Dothan, AL",31.2237434,-85.3933906
"DuBois, PA",41.118651,-78.7622342
"Dubuque, IA",42.5006243,-90.6647985
"Duluth, MN",46.7729322,-92.1251218
"Durango, CO",37.2395367,-107.8215818
"Eagle, CO",39.6161124,-106.7172844
"Eau Claire, WI",44.811349,-91.4984941
"El Centro, CA",32.792,-115.563051
"El Paso, TX",31.7865623,-106.441207
"Elko, NV",40.83269,-115.7630942
"Elmira/Corning, NY",42.1608441,-76.89199038
"Erie, PA",42.1294712,-80.0852695
"Escanaba, MI",45.7455707,-87.0647434
"Eugene, OR",44.0505054,-123.0950506
"Eureka/Arcata, CA",40.868847,-124.082295
"Evansville, IN",37.9747645,-87.5558483
"Everett, WA",47.9673056,-122.201399
"Fargo, ND",46.877229,-96.789821
"Farmington, NM",36.7291152,-108.205445
"Fayetteville, AR",36.0625843,-94.1574328
"Fayetteville, NC",35.0525759,-78.878292
"Flagstaff, AZ",35.1987522,-111.651822
"Flint, MI",43.0161693,-83.6900211
"Florence, SC",34.1984435,-79.7671658
"Fort Collins/Loveland, CO",40.542844,-105.06543
"Fort Huachuca, AZ",31.5272545,-110.3606475
"Fort Myers, FL",26.640628,-81.8723084
"Fort Smith, AR",35.3784666,-94.3996456
"Fort Wayne, IN",41.0799898,-85.1386015
"Fresno, CA",36.7394421,-119.7848307
"Friday Harbor, WA",48.5342662,-123.017124
"Gainesville, FL",29.6519684,-82.3249846
"Gallup, NM",35.5283506,-108.743907
"Garden City, KS",37.9716898,-100.8726618
"Gillette, WY",44.290635,-105.501876
"Grand Canyon, AZ",36.0965604,-112.0984941
"Grand Forks, ND",47.9078244,-97.0592028
"Grand Island, NE",40.924271,-98.338685
"Grand Junction, CO",39.063956,-108.5507317
"Grand Rapids, MI",42.9632405,-85.6678639
"Great Falls, MT",47.5048851,-111.29189
"Green Bay, WI",44.5126379,-88.0125794
"Greensboro/High Point, NC",35.9815398,-79.9773259
"Greenville, MS",33.4000633,-91.0551312
"Greenville, NC",35.613224,-77.3724593
"Greenville/Spartanburg, SC",34.950743,-81.949863
"Gulfport/Biloxi, MS",30.400784,-88.910215
"Gunnison, CO",38.6476702,-107.0603126
"Hagerstown, MD",39.6430455,-77.7191081
"Hancock/Houghton, MI",47.126871,-88.580956
"Harlingen/San Benito, TX",26.1575127,-97.67528782
"Harrisburg, PA",40.2663107,-76.8861122
"Hartford, CT",41.764582,-72.6908547
"Hattiesburg/Laurel, MS",31.3252196,-89.33815627
"Hays, KS",38.8791783,-99.3267702
"Helena, MT",46.5927425,-112.036277
"Hibbing, MN",47.427155,-92.937689
"Hickory, NC",35.7333312,-81.3442915
